rep,method,estimate,error,estimate_income,error_income,main_l2,pair_l2,validation_tv,ess,max_weight,num_trees
5,EB-offset hybrid: main,5.708056443548926,0.03852648271895198,22050.836286686354,-2472.078511519925,1.828415548657789e-09,0.4661338513284568,0.01439015089577619,296.26454700228857,0.00992429765311827,1.0
5,EB-offset hybrid: pairwise,5.786330404808992,0.11680044397901845,23478.918850675997,-1043.9959475302821,3.0069178589085664e-09,5.848664579432729e-09,0.009711027277452388,229.77401314555138,0.02386202512589839,0.0
6,Biased source,7.308474849705248,1.6389448888752742,39912.066666666666,15389.151868460387,1.0559304218578736,1.1747863839816102,0.12477323020222898,449.9999999999999,0.0022222222222222222,
6,Main-effect EB,5.745888900370759,0.07635893954078554,20564.777668189126,-3958.1371300171522,2.508776569818081e-14,0.6934035468679424,0.015211281531500923,242.0873870852807,0.01427664365993269,
6,Fixed pairwise EB,5.782458484649689,0.11292852381971574,23076.309092713786,-1446.6057054924931,2.663043481953126e-10,3.502692082956125e-10,0.006403702143504336,143.13624240003864,0.04315456239802359,
6,EB-offset hybrid: main,5.745888900370759,0.07635893954078554,20564.777668189126,-3958.1371300171522,2.508776569818081e-14,0.6934035468679424,0.015211281531500923,242.0873870852807,0.01427664365993269,0.0
6,EB-offset hybrid: pairwise,5.782458484649691,0.11292852381971752,23076.309092713793,-1446.6057054924859,2.663043490192356e-10,3.5026933032250757e-10,0.0064037021435043315,143.13624240003855,0.0431545623980236,0.0
7,Biased source,7.232977776244155,1.5634478154141815,42717.08888888889,18194.17409068261,0.9803857356211576,1.1017152856163308,0.11678721300843896,449.9999999999999,0.0022222222222222222,
7,Main-effect EB,5.6824533600132225,0.012923399183248918,23762.64077944395,-760.2740187623276,3.361189322193588e-13,0.6281747330914905,0.014413714495144258,259.804714889435,0.015323876623955563,
7,Fixed pairwise EB,5.66210775091957,-0.007422209910403765,25193.97824795509,671.06344974881,2.1273822989541514e-10,2.910673690869975e-10,0.007715606540216235,168.11543222921097,0.03147352524561851,
7,EB-offset hybrid: main,5.689241690592802,0.01971172976282798,24332.43378820719,-190.48100999909002,2.659080094735652e-09,0.5526015354747554,0.012092823042911826,254.34123416347938,0.015254505775409731,6.0
7,EB-offset hybrid: pairwise,5.664164352758783,-0.005365608071191019,25197.224243465706,674.3094452594269,9.03424282584164e-16,1.3132045013010942e-15,0.0077524146221802075,168.36824968218426,0.03128828309009181,1.0
8,Biased source,7.107693885587881,1.438163924757907,41270.4,16747.485201793723,0.881543761318461,0.9926590398402307,0.1041995238886123,449.9999999999999,0.0022222222222222222,
