method,estimate,error,ess,main_l2,pair_l2,latent_z_l2,num_trees,rep
EB-offset hybrid: pairwise,214.50033051661057,1.6613475512394302,272.50404138176935,1.9921657882267596e-14,2.0342360786177184e-14,0.09691981507972923,70.0,6
Naive respondents,201.06133383924092,-10.68621437550459,524.0,0.3993317577382228,0.15424165750227434,0.4459256706894486,0.0,7
OLS prediction,209.64243224320413,-2.1051159715413803,,,,,,7
EB main,209.22333078115793,-2.52421743358758,400.59127396589696,1.0234696371031834e-11,0.2955575050151992,0.23476944028435517,0.0,7
EB pairwise,211.22391000891895,-0.5236382058265576,337.0806163048799,3.475759034276563e-09,1.6205312998430017e-09,0.0772740297974105,0.0,7
EB-offset hybrid: main,210.16966601692937,-1.5778821978161375,387.47071034567557,1.9563303205875437e-10,0.2214067169766374,0.18811876901335883,11.0,7
EB-offset hybrid: pairwise,211.13798351607804,-0.6095646986674694,326.95675290549724,3.6091135800461372e-09,2.9564631865821487e-09,0.0877759274006882,22.0,7
Naive respondents,200.91800741473804,-8.971396563993153,498.99999999999994,0.40863405445043754,0.23684818189093368,0.4311400855184989,0.0,8
OLS prediction,209.69639928354707,-0.1930046951841291,,,,,,8
EB main,208.75822325398602,-1.1311807247451782,391.4494223082024,7.775787457712525e-09,0.16391787770346025,0.13314696530210465,0.0,8
EB pairwise,210.00595811056743,0.11655413183623864,367.2324609215919,1.0982036983163e-09,2.287706313201674e-09,0.0460567557338297,0.0,8
EB-offset hybrid: main,208.8566778048549,-1.0327261738762843,386.8689413484824,1.6040654965750317e-15,0.1481417818652094,0.11635243425952867,5.0,8
EB-offset hybrid: pairwise,209.99335262615236,0.10394864742116283,368.36611345706996,2.369281429866097e-09,3.673630540753166e-09,0.04880732808984437,1.0,8
Naive respondents,199.5906618371961,-10.399601651305545,532.0,0.40282377855831203,0.18313752098770264,0.43895645333806876,0.0,9
OLS prediction,208.34974712084315,-1.6405163676585062,,,,,,9
EB main,207.74075542888832,-2.2495080596133334,408.1340979043917,4.525842565637798e-15,0.21659528938506267,0.16936343538929505,0.0,9
EB pairwise,208.3163321208122,-1.6739313676894483,381.15935328314316,8.15692343216285e-14,1.1575501424026401e-13,0.11331961198421805,0.0,9
EB-offset hybrid: main,207.88305441059603,-2.1072090779056225,409.5313420451175,4.1807223861079445e-09,0.20937211928382468,0.16195503860550176,2.0,9
EB-offset hybrid: pairwise,208.45451492712903,-1.5357485613726283,383.18735997088345,4.684714386741846e-12,9.7345371189176e-12,0.10816875079016376,2.0,9
Naive respondents,200.51662972093052,-10.580283059952734,500.0000000000005,0.38112947665572655,0.22311968519910813,0.41894751114516715,0.0,10
OLS prediction,209.24021035105392,-1.8567024298293404,,,,,,10
EB main,208.73462769242033,-2.362285088462926,358.24911498554604,1.355194108873646e-14,0.24820235289465756,0.20327391936229944,0.0,10
EB pairwise,210.1229368578148,-0.9739759230684513,308.96936151229096,1.769761142657265e-11,3.549757437286766e-11,0.09487690923265682,0.0,10
EB-offset hybrid: main,209.11729599976363,-1.9796167811196312,352.1997109848223,1.3720552159617347e-10,0.20384320193199243,0.17458649447081528,3.0,10
EB-offset hybrid: pairwise,210.1504012406675,-0.9465115402157664,309.710293410748,1.9167609683445782e-14,3.153515398062367e-14,0.09496434454151186,1.0,10
Naive respondents,199.62855717369186,-10.416234108559848,513.0000000000001,0.4209495704067038,0.14604827558903283,0.4463975092876775,0.0,11
OLS prediction,210.95372244988144,0.9089311676297314,,,,,,11
EB main,209.74171312394768,-0.3030781583040323,365.9435658548123,8.966007907906431e-10,0.1477823580168749,0.13183060786175976,0.0,11
EB pairwise,210.13309826416312,0.0883069819114155,340.92865108330835,3.611163783926203e-14,7.170006969546508e-14,0.06563512719041308,0.0,11
EB-offset hybrid: main,209.80393846632995,-0.24085281592175534,353.28963287835785,9.354516166903878e-11,0.12032604341695782,0.11555758882708175,10.0,11
EB-offset hybrid: pairwise,210.5527993276132,0.5080080453614926,337.80152947065864,1.611431824113319e-13,3.183687026006893e-13,0.06112918991646778,10.0,11
Naive respondents,199.01031719498957,-12.467090604324824,465.0000000000003,0.4964174393152579,0.15878513141951586,0.5345672095881063,0.0,12
OLS prediction,208.8023128350179,-2.6750949642965054,,,,,,12
