method,bias,rmse,mae,ess_mean,main_l2_mean,pair_l2_mean,latent_z_l2_mean,num_trees_mean
EB main,-1.9682769661121533,2.214460466009382,1.9847308153304537,368.7102988269542,9.843744176359786e-10,0.26710586143723286,0.16506655773543483,0.0
EB pairwise,-0.6809728451583332,1.332588015498992,1.0778559221046264,332.99038066917194,3.090211640795036e-10,4.3827652332632384e-10,0.0778337728833795,0.0
EB-offset hybrid: main,-1.4792821763413273,1.6867182283459072,1.5032987794913055,363.53120712180913,1.2543133986409078e-09,0.22459754224544312,0.14319239155655195,8.65
EB-offset hybrid: pairwise,-0.37891571726453704,1.1217194750938453,0.9029381663107777,329.393114299899,5.290456947472679e-10,6.99683764842758e-10,0.07273234575379692,13.402
Naive respondents,-10.038450584623508,10.104467977545582,10.038450584623508,499.189,0.4276139801526799,0.1834691359540558,0.4580663531199417,0.0
OLS prediction,-0.8046513750028137,1.2790616237167394,1.0635097145933319,,,,,
