method,mean_estimate,bias,abs_bias,rmse,mae,main_l2_mean,pair_l2_mean,validation_tv_mean,ess_mean,max_weight_mean,bias_income,rmse_income,mae_income
EB-offset hybrid: main,5.701080290336008,0.03155032950603472,0.03155032950603472,0.09088700197109177,0.07286254006721085,2.6801885092973897e-09,0.4856389673838602,0.01335746161368882,261.1490574203702,0.013660560273862244,-1716.8778443538174,1985.5206112333972,1762.760683102215
Main-effect EB,5.711380970072829,0.04185100924285504,0.04185100924285504,0.09090180198492005,0.07303645781484686,9.866358160404254e-10,0.5425838937664865,0.014888985479974103,268.0369327467246,0.013122667965554143,-1980.9237472246405,2199.6209471485504,2003.5369424013152
EB-offset hybrid: pairwise,5.735648509355988,0.06611854852601431,0.06611854852601431,0.11645523197176522,0.09650159638980207,5.886261199098269e-05,7.389971685401763e-05,0.006984904942651848,197.06725458623686,0.02245543295287217,-117.05856523884687,1121.276369036108,887.3392713358592
Fixed pairwise EB,5.744284101119607,0.07475414028963255,0.07475414028963255,0.11988103526054054,0.10001385223425538,5.886257343534953e-05,7.389974919397746e-05,0.007346759422333335,197.91026782943965,0.022586482749404894,-128.3620586122155,1092.1538904348001,865.2608609133358
Biased source,7.081366456185802,1.4118364953558278,1.4118364953558278,1.4212306149851948,1.4118364953558278,0.9365242096302964,1.0599733430522835,0.11237300960922508,449.99999999999994,0.0022222222222222222,15045.25820179372,15127.285566678533,15045.25820179372
